系统编码,物料名称,规格,参数1,参数2,参数3,单位名称,1-3个月,3-6个月,6-12个月,12个月以上,单价
119-038,硅钢片,B20AT1200 0.2*300*30mm,0.2,300,30,kg,0,3,0,0,26.548673
119-039,硅钢片,B20AT1200 0.2*30*300mm,0.2,30,300,kg,0,5,0,0,26.548673
122-034,硅钢片,JIS35A2500.35*60*44mm,0.35,60,44,kg,10,0,0,0,7.256637
122-057,硅钢片,JIS35A2500.35*80*160φ12,0.35,80,160,kg,28,0,0,0,7.522124
122-059,硅钢片,JIS35A2500.35*80*240φ12,0.35,80,240,kg,22,0,0,0,7.522124
122-069,硅钢片,JIS35A2500.35*70*375,0.35,70,375,kg,0,0,6,0,7.256637
122-1000,硅钢片,B35A250 0.35*90*630mm 3-Φ15,0.35,90,630,kg,0,0,0,8,7.179487
122-1008,硅钢片,B35A250  0.35*100*430mm 1-φ16,0.35,100,430,kg,4,0,0,0,7.522124
122-1014,硅钢片,B35A250 0.35*100*205mm,0.35,100,205,kg,7,0,0,0,7.522124
122-1015,硅钢片,B35A250 0.35*100*480mm,0.35,100,480,kg,15,0,0,0,7.522124
122-1016,硅钢片,B35A250 0.35*100*310mm,0.35,100,310,kg,5,0,0,0,7.522124
122-1017,硅钢片,B35A250 0.35*135*180mm,0.35,135,180,kg,0,0,0,21,7.844828
122-1026,硅钢片,B35A250 0.35*38*45mm,0.35,38,45,kg,11,0,0,0,7.256637
122-1027,硅钢片,B35A250 0.35*45*235mm 3-Ф9,0.35,45,235,kg,100,0,0,0,7.256637
122-1028,硅钢片,B35A250 0.35*41*45mm,0.35,41,45,kg,8,577.5,0,0,7.433628
122-1029,硅钢片,B35A250 0.35*34*45,0.35,34,45,kg,6,0,0,0,7.256637
122-1030,硅钢片,B35A250 0.35*100*200mm,0.35,100,200,kg,0,0,0,191,7.863248
122-1031,硅钢片,B35A250 0.35*100*520mm,0.35,100,520,kg,0,0,0,477,7.863248
122-1032,硅钢片,B35A250 0.35*100*300mm,0.35,100,300,kg,0,0,0,106,7.863248
122-1033,硅钢片,B35A250 0.35*80*570mm,0.35,80,570,kg,13,0,0,0,7.433628
122-1037,硅钢片,B35A250 0.35*80*625mm Ф16,0.35,80,625,kg,0,0,0,6.6,8.119658
122-1040,硅钢片,B35A250 0.35*50*44mm,0.35,50,44,kg,83,0,0,0,7.522124
122-1041,硅钢片,B35A250 0.35*50*150mm 2-Ф9,0.35,50,150,kg,56,0,0,0,7.522124
122-1063,硅钢片,B35A250 0.35*60*305mm,0.35,60,305,kg,18,0,0,0,7.256637
122-1065,硅钢片,B35A250  0.35*90*420mm,0.35,90,420,kg,69,0,0,0,7.433628
122-1066,硅钢片,B35A250??0.35*90*230mm,0.35,90,230,kg,39,0,0,0,7.433628
122-1067,硅钢片,B35A250??0.35*90*370mm,0.35,90,370,kg,27,0,0,0,7.433628
122-1074,硅钢片,B35A250?0.35*60*420mm 3Ф12,0.35,60,420,kg,0,0,0,7.5,8.119658
122-1078,硅钢片,B35A250?0.35*20*55mm,0.35,20,55,kg,0,0,0,9,10.598291
122-1079,硅钢片,B35A250?0.35*20*100mm φ6,0.35,20,100,kg,0,0,0,3.5,10.598291
122-1082,硅钢片,B35A250?0.35*120*33.5mm,0.35,120,33.5,kg,0,0,0,19.5,7.844828
122-1083,硅钢片,B35A250?0.35*120*640mm 3-φ16,0.35,120,640,kg,0,0,0,12,7.844828
122-1086,硅钢片,B35A250 0.35*100*200mm  φ16,0.35,100,200,kg,6,0,0,0,7.522124
122-1087,硅钢片,B35A250 0.35*100*300mm  φ16,0.35,100,300,kg,4,0,0,0,7.522124
122-1095,硅钢片,B35A250 0.35*50*33.5mm,0.35,50,33.5,kg,2,0,0,0,7.256637
122-1114,硅钢片,B35A250 0.35*60*380mm,0.35,60,380,kg,34,0,0,0,6.19469
122-1126,硅钢片,B35A250 0.35*120*600mm,0.35,120,600,kg,0,54,0,0,7.522124
122-1136,硅钢片,B35A250 0.35*120*540mm φ14,0.35,120,540,kg,0,0,0,158,8.205128
122-1137,硅钢片,B35A250 0.35*80*380mm φ14,0.35,80,380,kg,0,0,0,65,8.205128
122-1139,硅钢片,B35A250 0.35*70*390mm 3-φ14,0.35,70,390,kg,0,0,5,0,8.205128
122-1166,硅钢片,B35A250 0.35*50*170mm 2-φ9,0.35,50,170,kg,0,0,0,16,8.205128
122-1177,硅钢片,B35A250 0.35*80*45mm,0.35,80,45,kg,0,0,0,6.5,8.205128
122-1179,硅钢片,B35A250 0.35*60*145mm,0.35,60,145,kg,2,0,0,0,7.256637
122-1180,硅钢片,B35A250 0.35*60*230mm,0.35,60,230,kg,3,0,0,0,7.256637
122-1181,硅钢片,B35A250 0.35*60*360mm,0.35,60,360,kg,3,0,0,0,7.256637
122-1182,硅钢片,B35A250 0.35*50*300mm  3φ9,0.35,50,300,kg,3,0,0,0,7.256637
122-1187,硅钢片,B35A250 0.35*410*60mm 5-φ14,0.35,410,60,kg,951,12,0,0,7.522124
122-1223,硅钢片,B35A250 0.35*140*505mm,0.35,140,505,kg,0,0,0,6.5,8.119658
122-1229,硅钢片,B35A250 0.35*70*420mm,0.35,70,420,kg,0,0,0,5.5,8.119658
