系统编码,物料名称,规格,,,单位名称,1-3个月,3-6个月,6-12个月,12个月以上,单价
2500-001,铝箔,0.6*250mm,0.6,250,kg,217,0,0,0,16.495575
2500-002,铝箔,1.2*600mm,1.2,600,kg,0,0,0,21,18.282051
2500-003,铝箔,0.9*350mm,0.9,350,kg,113,0,0,0,15.663793
2500-004,铝箔,0.3*350mm,0.3,350,kg,149,0,0,0,16.283186
2500-005,铝箔,0.6*350mm,0.6,350,kg,105,0,0,0,15.380531
2500-006,铝箔,0.4*300mm,0.4,300,kg,247,0,0,0,16.309735
2500-007,铝箔,0.9*300mm,0.9,300,kg,0,0,321,0,15.80531
2500-008,铝箔,1.5*350mm,1.5,350,kg,358,0,0,0,15.716814
2500-009,铝箔,0.7*300mm,0.7,300,kg,60,0,0,0,15.837607
2500-010,铝箔,0.7*350mm,0.7,350,kg,0,0,98,0,16.469027
2500-012,铝箔,0.8*250mm,0.8,250,kg,36,0,0,0,15.884956
2500-014,铝箔,0.7*400mm,0.7,400,kg,59,0,0,0,16.584071
2500-016,铝箔,1.0*400mm,1,400,kg,0,100,0,0,15.681034
2500-017,铝箔,0.5*300mm,0.5,300,kg,238,0,0,0,15.716814
2500-018,铝箔,0.3*300mm,0.3,300,kg,122,0,0,0,16.309735
2500-020,铝箔,1.3*500mm,1.3,500,kg,0,384,0,0,16.017699
2500-025,铝箔,1.0*250mm,1,250,kg,240,0,0,0,16.19469
2500-027,铝箔,0.7*600mm,0.7,600,kg,0,0,273,0,17.196581
2500-029,铝箔,0.4*250mm,0.4,250,kg,41,325,0,0,15.840708
2500-030,铝箔,0.7*250mm,0.7,250,kg,488,0,0,0,15.752212
2500-031,铝箔,0.5*250mm,0.5,250,kg,196,0,0,0,16.858407
2500-035,铝箔,2.0*220mm,2,220,kg,0,0,0,101.7,17.155172
2500-036,铝箔,2.0*350mm,2,350,kg,0,0,0,237,15.598291
2500-039,铝箔,0.3*150mm,0.3,150,kg,0,58,0,54,18.017094
2500-042,铝箔,1.3*400mm,1.3,400,kg,0,7,0,0,17.068376
2500-044,铝箔,0.4*400mm,0.4,400,kg,0,27,0,0,17.707965
2500-045,铝箔,0.4*450mm,0.4,450,kg,0,47,0,0,15.612069
2500-047,铝箔,0.8*450mm,0.8,450,kg,0,0,0,67,14.74359
2500-048,铝箔,0.5*500mm,0.5,500,kg,0,0,71,0,17.698276
2500-050,铝箔,0.3*250mm,0.3,250,kg,23,0,0,0,17.353982
2500-053,铝箔,0.3*200mm,0.3,200,kg,0,0,55,0,17.491379
2500-054,铝箔,0.9*200mm,0.9,200,kg,127,0,0,0,16.327434
2500-057,铝箔,0.9*150mm,0.9,150,kg,0,0,38,0,16.880342
