系统编码,物料名称,规格,参数1,参数2,参数3,参数4,单位名称,1-3个月,3-6个月,6-12个月,12个月以上,单价
2530-001,H级丝包铝线,3.15*8.5/3.45*8.8,3.15,8.5,3.45,8.8,kg,333.4,0,0,0,24.79646
2530-003,H级丝包铝线,SBELB-0.3/180 2.5*5.6/2.8*5.9,2.5,5.6,2.8,5.9,kg,69,0,0,0,24.902655
2530-004,H级丝包铝线,SBELB-0.3/1803.55*9.5/3.85*9.8,3.55,9.5,3.85,9.8,kg,97.8,0,0,0,24.911504
2530-005,H级丝包铝线,SBELB-0.3/180 2.5*7.5/2.8*7.8,2.5,7.5,2.8,7.8,kg,0,30.5,0,0,25.132743
2530-006,H级丝包铝线,4*8/4.3*8.3,4,8,4.3,8.3,kg,44,0,0,0,24.619469
2530-007,H级丝包铝线,2.5*4.5/2.8*4.8,2.5,4.5,2.8,4.8,kg,0,0,50,0,20.146552
2530-010,H级丝包铝线,SBELB-0.3/1803*6.3/3.3*6.6,3,6.3,3.3,6.6,kg,0,0,30,0,20.12069
2530-011,H级丝包铝线,4*7.1/4.3*7.4,4,7.1,4.3,7.4,kg,0,0,5,31,19.760684
2530-012,H级丝包漆包铝线,2.36*8.0,2.36,8,,,kg,0,0,42,0,#N/A
2530-013,H级丝包漆包铝线,1.6*5,1.6,5,,,kg,0,3,0,52.78,#N/A
2530-014,H级丝包漆包铝线,2.36*8.5,2.36,8.5,,,kg,0,0,0,65.69,#N/A
2530-015,丝包漆包铝线,3*10,3,10,,,kg,0,0,0,28.2,#N/A
2530-018,H级丝包漆包铝线,3.55*9,3.55,9,,,kg,0,0,0,98,#N/A
2530-019,H级丝包铝线,SBELB-0.3/1801.9*4/2.2*4.3,1.9,4,2.2,4.3,kg,63,0,0,0,33.752212
2530-020,丝包铝线,SBELB-0.4/1802.0*4.5/2.4*4.9,2,4.5,2.4,4.9,kg,0,0,0,4,#N/A
2530-021,H级丝包铝线,SBELB-0.4/1802.36*8.0/2.76*8.4,2.36,8,2.76,8.4,kg,0,0,0,23.5,20.818966
2530-022,丝包铝线,SBELB-0.4/180 3.35*12.5/3.75*12.9,3.35,12.5,3.75,12.9,kg,0,0,0,183.9,19.452991
2530-023,H级丝包铝线,SBELB-0.4/180 10*3/10.4*3.4,10,3,10.4,3.4,kg,47,0,0,0,21.042735
2530-024,双层H级云母带绕包铝扁线,3.15*10.0/3.71*10.56,3.15,10,3.71,10.56,kg,0,0,0,162,29.589744
2530-025,双层H级云母带绕包铝扁线,3.35*12.50/3.91*13.06,3.35,12.5,3.91,13.06,kg,166.5,0,0,39,32.867257
2530-027,H级丝包铝线,SBELB-0.3/180 2.5*8.5/2.8*8.8,2.5,8.5,2.8,8.8,kg,20,0,0,0,20.282051
2530-028,H级丝包铝线,SBELB-0.3/180 2.24*6.3/2.54*6.6,2.24,6.3,2.54,6.6,kg,0,27,0,0,21.008621
2530-029,H级丝包铝线,SBELB-0.3/180 2*5/2.3*5.3,2,5,2.3,5.3,kg,0,0,0,4,19.974359
2530-030,H级丝包铝线,SBELB-0.4/3.75*14/4.15*14.4,3.75,14,4.15,14.4,kg,0,0,0,29.6,21.709402
2530-034,丝包铝线,1.6*3.35/1.9*3.65,1.6,3.35,1.9,3.65,kg,50.5,0,0,0,30.442478
2530-035,丝包漆包铝线,3.55*12/3.95*12.4,3.55,12,3.95,12.4,kg,0,0,0,195.48,19.923077
2530-039,H级丝包铝线,SBELB-0.4/2.65*10/3.05*10.4,2.65,10,3.05,10.4,kg,0,0,0,57.6,20.264957
2530-040,H级丝包铝线,SBELB-0.3/2.24*8/2.54*8.3,2.24,8,2.54,8.3,kg,0,0,56,0,20.974359
2530-041,H级丝包铝线,SBELB-0.3/2.5*10/2.8*10.3,2.5,10,2.8,10.3,kg,218.5,0,0,0,24.79646
2530-044,H级聚酰亚胺丝包铝扁线,SBELB-0.4  8.5*2.5/8.9*2.9,8.5,2.5,8.9,2.9,kg,0,0,0,61.2,30.350427
2530-045,H级聚酰亚胺丝包铝扁线,SBELB-0.4  11.8*2.8/12.2*3.2,11.8,2.8,12.2,3.2,kg,0,0,0,48.5,30.350427
2530-046,H级丝包铝线,SBELB-0.3/3.55*7.5/3.85*7.8,3.55,7.5,3.85,7.8,kg,0,0,0,33,16.196581
